Load Test Results:
User 8: Response Code: 200 | Response Time: 708 ms | Request Time: 1498 ms
User 34: Response Code: 200 | Response Time: 750 ms | Request Time: 1533 ms
User 73: Response Code: 200 | Response Time: 750 ms | Request Time: 1529 ms
User 78: Response Code: 200 | Response Time: 797 ms | Request Time: 1575 ms
User 92: Response Code: 200 | Response Time: 797 ms | Request Time: 1575 ms
User 42: Response Code: 200 | Response Time: 797 ms | Request Time: 1577 ms
User 37: Response Code: 200 | Response Time: 843 ms | Request Time: 1627 ms
User 2: Response Code: 200 | Response Time: 843 ms | Request Time: 1629 ms
User 100: Response Code: 200 | Response Time: 843 ms | Request Time: 1621 ms
User 50: Response Code: 200 | Response Time: 843 ms | Request Time: 1623 ms
User 25: Response Code: 200 | Response Time: 891 ms | Request Time: 1675 ms
User 27: Response Code: 200 | Response Time: 891 ms | Request Time: 1675 ms
User 10: Response Code: 200 | Response Time: 893 ms | Request Time: 1677 ms
User 12: Response Code: 200 | Response Time: 893 ms | Request Time: 1677 ms
User 14: Response Code: 200 | Response Time: 893 ms | Request Time: 1677 ms
User 7: Response Code: 200 | Response Time: 940 ms | Request Time: 1724 ms
User 93: Response Code: 200 | Response Time: 940 ms | Request Time: 1718 ms
User 90: Response Code: 200 | Response Time: 940 ms | Request Time: 1718 ms
User 61: Response Code: 200 | Response Time: 940 ms | Request Time: 1719 ms
User 64: Response Code: 200 | Response Time: 940 ms | Request Time: 1719 ms
User 49: Response Code: 200 | Response Time: 940 ms | Request Time: 1719 ms
User 6: Response Code: 200 | Response Time: 987 ms | Request Time: 1771 ms
User 53: Response Code: 200 | Response Time: 987 ms | Request Time: 1766 ms
User 81: Response Code: 200 | Response Time: 987 ms | Request Time: 1765 ms
User 87: Response Code: 200 | Response Time: 987 ms | Request Time: 1765 ms
User 26: Response Code: 200 | Response Time: 987 ms | Request Time: 1772 ms
User 45: Response Code: 200 | Response Time: 987 ms | Request Time: 1767 ms
User 54: Response Code: 200 | Response Time: 987 ms | Request Time: 1767 ms
User 18: Response Code: 200 | Response Time: 1031 ms | Request Time: 1816 ms
User 85: Response Code: 200 | Response Time: 1031 ms | Request Time: 1810 ms
User 51: Response Code: 200 | Response Time: 1033 ms | Request Time: 1813 ms
User 19: Response Code: 200 | Response Time: 1033 ms | Request Time: 1818 ms
User 76: Response Code: 200 | Response Time: 1033 ms | Request Time: 1812 ms
User 67: Response Code: 200 | Response Time: 1034 ms | Request Time: 1813 ms
